Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,runtime,BinaryGetFunctionByEntry,1449.32,14,103.523,0.42,481.19,22019.023
host,runtime,BinaryLoadFromData,5282.3,9,586.922,18.26,3755.59,1336398.136
host,acl,Cast_Tiling,971.26,65,14.942,3.59,64.13,215.102
host,runtime,ContextGetCurrent,0.2,1,0.2,0.2,0.2,0
host,runtime,CtxGetSysParamOpt,123.97,298,0.416,0.19,4.55,0.127
host,runtime,CtxSetSysParamOpt,16.36,1,16.36,16.36,16.36,0
host,runtime,DevFree,10043.04,10,1004.304,1.82,3829.81,1268292.101
host,runtime,DevMalloc,71531.93,10,7153.193,70.69,69918.36,437735053.502
host,runtime,DeviceReset,3.32,1,3.32,3.32,3.32,0
host,runtime,DeviceSynchronize,716965.81,51,14058.153,4.11,235767.12,1245157717.607
host,acl,Fill_Tiling,70.64,3,23.547,11.52,46.46,262.727
host,runtime,LaunchKernelV2,14733.4,3783,3.895,1.75,21.19,1.219
host,runtime,LaunchRandomNumTask,1453.7,33,44.052,22.46,212.76,1804.422
host,acl,LayerNormV3_Tiling,468.91,32,14.653,0.2,108.29,942.439
host,acl,MatMulV2_Tiling,28878.88,36,802.191,0.21,27899.44,20982189.717
host,acl,MatMulV3_Tiling,1825.38,32,57.043,0.26,475.38,8806.373
host,runtime,MemcpyAsync,504.1,33,15.276,6.37,79.03,182.221
host,runtime,SetDevice,87.17,1,87.17,87.17,87.17,0
host,runtime,SetStreamMode,1.96,2,0.98,0.68,1.28,0.09
host,acl,SoftmaxV2_Tiling,239.21,44,5.437,0.14,34.03,65.481
host,runtime,StreamCreate,1889.95,2,944.975,663.1,1226.85,79453.516
host,runtime,StreamDestroy,1562.68,1,1562.68,1562.68,1562.68,0
host,runtime,StreamSyncTaskFinish,0,154,0,0,0,0
host,acl,Swish_Tiling,206.76,31,6.67,4.81,21.17,8.611
host,acl,ZerosLike_Tiling,26.76,3,8.92,7.08,12.32,5.793
host,acl,aclmdlRICaptureGetInfo,125.66,104,1.208,0.37,11.56,3.108
host,acl,aclnnInplaceFillScalar,1627.67,5,325.534,10.64,1515.37,354166.586
host,acl,aclnnInplaceFillScalarGetWorkspaceSize,1894.92,3,631.64,14.6,1864.09,759466.944
host,acl,aclnnInplaceNormal,5531.63,33,167.625,75.38,1490.74,58307.522
host,acl,aclnnInplaceNormalGetWorkspaceSize,93752.45,33,2840.983,13.86,93026.7,254170790.804
host,acl,aclnnInplaceZero,387.74,5,77.548,15.39,293.56,11708.924
host,acl,aclnnInplaceZeroGetWorkspaceSize,893.38,3,297.793,8.72,874.56,166330.211
host,acl,aclnnLayerNorm,15083.11,550,27.424,15.75,627.69,739.114
host,acl,aclnnLayerNormWithImplModeGetWorkspaceSize,3138.66,16,196.166,28.97,2360.47,313573.948
host,acl,aclnnMm,22780.5,990,23.011,6.4,5536.25,55008.926
host,acl,aclnnMmGetWorkspaceSize,51308.89,34,1509.085,42.59,44377.81,55994918.579
host,acl,aclnnSilu,6389.12,550,11.617,6.71,339.6,220.133
host,acl,aclnnSiluGetWorkspaceSize,863.66,31,27.86,6.67,616.83,11565.175
host,acl,aclnnSoftmax,6334.48,550,11.517,6.49,464.04,387.706
host,acl,aclnnSoftmaxGetWorkspaceSize,1987.36,22,90.335,14.44,1516.6,96956.108
host,acl,aclrtBinaryLoadFromData,5322.48,9,591.387,20.17,3766.81,1342934.789
host,acl,aclrtCreateStreamWithConfig,1924.42,2,962.21,671.98,1252.44,84233.453
host,acl,aclrtCtxGetSysParamOpt,619.73,298,2.08,1.06,20.89,3.322
host,acl,aclrtCtxSetSysParamOpt,42.44,1,42.44,42.44,42.44,0
host,acl,aclrtDestroyStreamForce,1584.72,1,1584.72,1584.72,1584.72,0
host,acl,aclrtFree,10060.15,10,1006.015,2.76,3831.59,1268384.702
host,acl,aclrtGetCurrentContext,8.79,1,8.79,8.79,8.79,0
host,acl,aclrtGetHardwareSyncAddr,251.79,440,0.572,0.43,18.07,0.709
host,acl,aclrtGetResInCurrentThread,184.8,284,0.651,0.26,4.23,0.3
host,acl,aclrtGetStreamAttribute,1165.93,2716,0.429,0.32,2.91,0.009
host,acl,aclrtLaunchKernelWithHostArgs,20526.16,3783,5.426,2.77,31.99,2.896
host,acl,aclrtMemcpyAsync,668.54,33,20.259,8.47,89.38,240.269
host,acl,aclrtRandomNumAsync,1587.23,33,48.098,24.92,221.25,1906.789
host,acl,aclrtResetDevice,15.12,1,15.12,15.12,15.12,0
host,acl,aclrtSetDevice,109.72,1,109.72,109.72,109.72,0
host,acl,aclrtSetOpExecuteTimeOut,1407.98,1,1407.98,1407.98,1407.98,0
host,acl,aclrtSetStreamFailureMode,7.83,2,3.915,2.85,4.98,1.134
host,acl,aclrtSynchronizeDeviceWithTimeout,717150.94,51,14061.783,5.35,235776.22,1245247611.998
host,node,launch,31388.81,3816,8.226,3.45,552.54,209.711
