Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
4,4294967295,1,47,aclnnInplaceNormal_DSARandomNormal_DSARandomNormal,DSARandomNormal,dynamic,DSA_SQE,1775810566890438.966	,101.498,0,0,0,NO,N/A,N/A,N/A,"""1024,1024""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,4294967295,2,47,aclnnInplaceNormal_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1775810566891565.404	,12.160,1025.002000,40,0,NO,"""1024,1024""",FLOAT,ND,"""1024,1024""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.21,607889,0.246,0.027,1.811,0.197,3.865,0.42,1.269,0.138,0.106,0.000
4,4294967295,4,47,aclnnInplaceNormal_DSARandomNormal_DSARandomNormal,DSARandomNormal,dynamic,DSA_SQE,1775810566891896.077	,99.918,318.340000,0,0,NO,N/A,N/A,N/A,"""1024,1024""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,4294967295,5,47,aclnnInplaceNormal_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1775810566891996.015	,5.860,0.082000,40,0,NO,"""1024,1024""",FLOAT,ND,"""1024,1024""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.669,242131,0.24,0.065,0.847,0.231,2.507,0.683,1.327,0.362,0.0,0.000
4,4294967295,6,47,aclnnMm_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1775810566941988.356	,18.280,49986.390000,16,0,NO,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT16,ND,N/A,16.274,429642,10.276,0.631,6.16,0.379,9.158,0.563,10.006,0.615,3.551,0.218,0.016,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.222
4,4294967295,7,47,aclnnMm_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1775810566942072.375	,15.679,65.970000,16,0,NO,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT16,ND,N/A,14.033,370468,10.244,0.73,6.442,0.459,9.221,0.657,9.961,0.71,3.616,0.258,0.004,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.601
4,4294967295,8,47,aclnnMm_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1775810566942098.494	,14.860,10.321000,16,0,NO,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT16,ND,N/A,13.413,354099,10.238,0.763,6.014,0.448,9.222,0.688,9.956,0.742,3.645,0.272,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.209
4,4294967295,9,47,aclnnMm_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1775810566942134.833	,14.760,21.390000,16,0,NO,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT16,ND,N/A,13.446,354976,10.239,0.761,6.021,0.448,9.239,0.687,9.95,0.74,3.674,0.273,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.878
4,4294967295,10,47,aclnnMm_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1775810566942154.053	,14.800,4.490000,16,0,NO,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT16,ND,N/A,13.487,356056,10.232,0.759,6.034,0.447,9.253,0.686,9.922,0.736,3.672,0.272,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.903
4,4294967295,11,47,aclnnMm_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1775810566942172.833	,14.999,3.950000,16,0,NO,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT16,ND,N/A,13.584,358609,10.232,0.753,6.153,0.453,9.268,0.682,9.96,0.733,3.646,0.268,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.451
4,4294967295,12,47,aclnnMm_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1775810566942229.651	,14.740,42.001000,16,0,NO,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT16,ND,N/A,13.391,353525,10.237,0.764,5.993,0.447,9.25,0.691,9.934,0.742,3.623,0.271,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.679
4,4294967295,13,47,aclnnMm_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1775810566942244.411	,14.840,0.010000,16,0,NO,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT16,ND,N/A,13.412,354068,10.231,0.763,6.012,0.448,9.272,0.691,9.998,0.745,3.648,0.272,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.300
4,4294967295,14,47,aclnnMm_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1775810566942402.208	,14.820,142.910000,16,0,NO,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT16,ND,N/A,13.596,358931,10.234,0.753,6.173,0.454,9.259,0.681,9.928,0.73,3.665,0.27,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.392
4,4294967295,15,47,aclnnMm_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1775810566942417.068	,15.419,0.000000,16,0,NO,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT16,ND,N/A,13.579,358480,10.235,0.754,6.134,0.452,9.277,0.683,9.967,0.734,3.678,0.271,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.452
4,4294967295,16,47,aclnnMm_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1775810566942637.623	,14.640,205.081000,16,0,NO,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT16,ND,N/A,13.343,352267,10.227,0.766,5.942,0.445,9.275,0.695,9.978,0.748,3.659,0.274,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.915
4,4294967295,17,47,aclnnMm_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1775810566942670.763	,14.499,18.610000,16,0,NO,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT16,ND,N/A,13.337,352109,10.23,0.767,5.921,0.444,9.28,0.696,9.963,0.747,3.656,0.274,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.591
4,4294967295,18,47,aclnnMm_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1775810566942690.362	,14.800,5.001000,16,0,NO,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT16,ND,N/A,13.461,355381,10.234,0.76,6.082,0.452,9.234,0.686,9.996,0.743,3.621,0.269,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.764
