Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
4,N/A,PROFILING_ENABLE,49,3,0.020,1775810564172755.826	,1775810564172755.846	
4,N/A,TASK_TIMEOUT_SET,49,4,228.075,1775810566733306.286	,1775810566733534.361	
4,N/A,MEMCPY_ASYNC,47,0,2.939,1775810566890241.790	,1775810566890244.730	
4,aclnnInplaceNormal_DSARandomNormal_DSARandomNormal,DSA_SQE,47,1,101.497,1775810566890438.966	,1775810566890540.464	
4,aclnnInplaceNormal_CastAiCore_Cast,AI_VECTOR_CORE,47,2,12.159,1775810566891565.404	,1775810566891577.564	
4,N/A,MEMCPY_ASYNC,47,3,2.919,1775810566891892.437	,1775810566891895.357	
4,aclnnInplaceNormal_DSARandomNormal_DSARandomNormal,DSA_SQE,47,4,99.918,1775810566891896.077	,1775810566891995.995	
4,aclnnInplaceNormal_CastAiCore_Cast,AI_VECTOR_CORE,47,5,5.859,1775810566891996.015	,1775810566892001.875	
4,aclnnMm_MatMulCommon_MatMulV2,AI_CORE,47,6,18.279,1775810566941988.356	,1775810566942006.636	
4,aclnnMm_MatMulCommon_MatMulV2,AI_CORE,47,7,15.679,1775810566942072.375	,1775810566942088.054	
4,aclnnMm_MatMulCommon_MatMulV2,AI_CORE,47,8,14.859,1775810566942098.494	,1775810566942113.354	
4,aclnnMm_MatMulCommon_MatMulV2,AI_CORE,47,9,14.759,1775810566942134.833	,1775810566942149.593	
4,aclnnMm_MatMulCommon_MatMulV2,AI_CORE,47,10,14.799,1775810566942154.053	,1775810566942168.853	
4,aclnnMm_MatMulCommon_MatMulV2,AI_CORE,47,11,14.999,1775810566942172.833	,1775810566942187.832	
4,aclnnMm_MatMulCommon_MatMulV2,AI_CORE,47,12,14.739,1775810566942229.651	,1775810566942244.391	
4,aclnnMm_MatMulCommon_MatMulV2,AI_CORE,47,13,14.839,1775810566942244.411	,1775810566942259.251	
4,aclnnMm_MatMulCommon_MatMulV2,AI_CORE,47,14,14.819,1775810566942402.208	,1775810566942417.028	
4,aclnnMm_MatMulCommon_MatMulV2,AI_CORE,47,15,15.419,1775810566942417.068	,1775810566942432.487	
