op,shape,measured_us,predicted_us,ratio,bound
MATMUL,1024x1024x1024,15.5,14.5,0.933,compute (PIPE_M)
MATMUL,1024x4096x4096,155.8,134.7,0.865,compute (PIPE_M)
MATMUL,1024x4096x14336,614.3,453.2,0.738,compute (PIPE_M)
MATMUL,1024x14336x4096,599.7,456.1,0.76,compute (PIPE_M)
MATMUL,1024x4096x1024,47.8,39.2,0.82,compute (PIPE_M)
MATMUL,1024x8192x8192,598.7,518.0,0.865,compute (PIPE_M)
MATMUL,1024x8192x28672,2376.3,1791.8,0.754,compute (PIPE_M)
MATMUL,2048x4096x4096,282.2,258.6,0.916,compute (PIPE_M)
MATMUL,4096x4096x4096,555.4,506.4,0.912,compute (PIPE_M)
LAYERNORM,1024x4096,49.5,11.0,0.222,memory
LAYERNORM,1024x8192,73.1,18.7,0.256,memory
LAYERNORM,1024x14336,204.7,30.4,0.148,memory
LAYERNORM,2048x4096,92.9,18.7,0.201,memory
LAYERNORM,4096x4096,178.9,34.2,0.191,memory
SOFTMAX,1024x4096,30.6,11.0,0.358,memory
SOFTMAX,1024x8192,54.4,18.7,0.344,memory
SOFTMAX,1024x14336,108.6,30.4,0.28,memory
SOFTMAX,2048x4096,56.9,18.7,0.329,memory
SOFTMAX,4096x4096,109.2,34.2,0.313,memory
SILU,1024x4096,14.6,11.0,0.753,memory
SILU,1024x8192,26.2,18.7,0.714,memory
SILU,1024x14336,43.5,30.4,0.698,memory
SILU,2048x4096,26.2,18.7,0.715,memory
SILU,4096x4096,49.5,34.2,0.692,memory
