op,shape,measured_us,predicted_us,ratio,bound
MATMUL,1024x1024x1024,17.2,15.8,0.915,compute (PIPE_M)
MATMUL,1024x4096x4096,155.9,156.7,1.005,compute (PIPE_M)
MATMUL,1024x4096x14336,615.1,530.5,0.862,compute (PIPE_M)
MATMUL,1024x14336x4096,603.3,533.0,0.883,compute (PIPE_M)
MATMUL,1024x4096x1024,47.7,44.6,0.935,compute (PIPE_M)
MATMUL,1024x8192x8192,599.0,606.3,1.012,compute (PIPE_M)
MATMUL,1024x8192x28672,2386.0,2101.6,0.881,compute (PIPE_M)
MATMUL,2048x4096x4096,282.8,303.3,1.073,compute (PIPE_M)
MATMUL,4096x4096x4096,555.5,596.4,1.074,compute (PIPE_M)
LAYERNORM,1024x4096,49.3,47.9,0.972,memory
LAYERNORM,1024x8192,72.9,93.9,1.288,memory
LAYERNORM,1024x14336,204.8,162.8,0.795,memory
LAYERNORM,2048x4096,92.8,93.9,1.012,memory
LAYERNORM,4096x4096,178.7,185.8,1.04,memory
SOFTMAX,1024x4096,30.7,32.2,1.05,memory
SOFTMAX,1024x8192,54.3,62.4,1.148,memory
SOFTMAX,1024x14336,108.7,107.7,0.99,memory
SOFTMAX,2048x4096,56.8,62.4,1.098,memory
SOFTMAX,4096x4096,109.4,122.8,1.123,memory
SILU,1024x4096,14.6,15.1,1.034,memory
SILU,1024x8192,26.3,28.3,1.076,memory
SILU,1024x14336,43.4,47.9,1.104,memory
SILU,2048x4096,26.3,28.3,1.076,memory
SILU,4096x4096,49.3,54.5,1.106,memory
